PostId,TagId
"1","2"
"2477","2"
"3659","2"
"5925","2"
"6924","2"
"7025","2"
"8524","2"
"8885","2"
"9692","2"
"14313","2"
"15046","2"
"18895","2"
"20895","2"
"21278","2"
"21528","2"
"21975","2"
"27807","2"
"29664","2"
"31666","2"
"33649","2"
"34541","2"
"35963","2"
"39935","2"
"40136","2"
"42425","2"
"49947","2"
"52202","2"
"52399","2"
"54677","2"
"54710","2"
"57841","2"
"58264","2"
"62984","2"
"63609","2"
"65176","2"
"67774","2"
"72581","2"
"74482","2"
"75761","2"
"75793","2"
"76085","2"
"79123","2"
"83260","2"
"86116","2"
"86129","2"
"86290","2"
"91307","2"
"93880","2"
"94031","2"
"96308","2"
"97339","2"
"97835","2"
"97846","2"
"98508","2"
"98929","2"
"101083","2"
"101257","2"
"102220","2"
"105203","2"
"105806","2"
"107703","2"
"110011","2"
"110216","2"
"114856","2"
"2","3"
"1091","3"
"5324","3"
"7931","3"
"10654","3"
"10997","3"
"11782","3"
"2","6"
"358","6"
"685","6"
"1416","6"
"3830","6"
"5529","6"
"5791","6"
"5935","6"
"6514","6"
"7383","6"
"7523","6"
"7931","6"
"9041","6"
"9144","6"
"10220","6"
"10842","6"
"11182","6"
"11782","6"
"12221","6"
"12860","6"
"16067","6"
"16253","6"
"16891","6"
"17959","6"
"18161","6"
"18219","6"
"18786","6"
"19802","6"
"20040","6"
"20112","6"
"21286","6"
"21725","6"
"21951","6"
"22353","6"
"22459","6"
"22898","6"
"22928","6"
"25526","6"
"26612","6"
"27929","6"
"29181","6"
"29252","6"
"29336","6"
"29761","6"
"29873","6"
"30770","6"
"31716","6"
"34038","6"
"34716","6"
"34738","6"
"35734","6"
"37260","6"
"38232","6"
"38543","6"
"39413","6"
"39778","6"
"40061","6"
"40212","6"
"40364","6"
"40590","6"
"41175","6"
"41566","6"
"42126","6"
"43118","6"
"43846","6"
"44922","6"
"45001","6"
"45323","6"
"46086","6"
"46691","6"
"48382","6"
"49142","6"
"49601","6"
"50056","6"
"50175","6"
"50974","6"
"51137","6"
"52029","6"
"52266","6"
"53423","6"
"54458","6"
"54889","6"
"57831","6"
"57884","6"
"57982","6"
"58163","6"
"59733","6"
"61204","6"
"61264","6"
"62587","6"
"64312","6"
"65214","6"
"66987","6"
"67671","6"
"67726","6"
"68311","6"
"71939","6"
"72249","6"
"73584","6"
"75643","6"
"76085","6"
"76826","6"
"79735","6"
"80968","6"
"81073","6"
"81195","6"
"81616","6"
"81913","6"
"82045","6"
"82485","6"
"83277","6"
"84598","6"
"85810","6"
"86397","6"
"86445","6"
"87310","6"
"87625","6"
"88329","6"
"99168","6"
"99623","6"
"101908","6"
"104606","6"
"105083","6"
"105170","6"
"106160","6"
"107771","6"
"108016","6"
"108060","6"
"109875","6"
"110987","6"
"111434","6"
"112004","6"
"113429","6"
"113495","6"
"113603","6"
"117476","6"
"118196","6"
"119193","6"
"120107","6"
"7","8"
"19","8"
"37","8"
"817","8"
"1072","8"
"2477","8"
"2535","8"
"2595","8"
"2936","8"
"3293","8"
"3614","8"
"5080","8"
"5930","8"
"6425","8"
"6665","8"
"7792","8"
"7988","8"
"8885","8"
"10173","8"
"10562","8"
"14779","8"
"15045","8"
"15373","8"
"17112","8"
"18316","8"
"18432","8"
"18478","8"
"18997","8"
"19091","8"
"19415","8"
"21857","8"
"22192","8"
"22574","8"
"22945","8"
"23156","8"
"23427","8"
"23585","8"
"23716","8"
"23937","8"
"26494","8"
"27938","8"
"28873","8"
"29084","8"
"29983","8"
"31031","8"
"31771","8"
"35744","8"
"39511","8"
"39524","8"
"39531","8"
"42720","8"
"43484","8"
"45151","8"
"45293","8"
"45483","8"
"46121","8"
"49182","8"
"51554","8"
"53048","8"
"53229","8"
"54338","8"
"54892","8"
"55215","8"
"57837","8"
"60201","8"
"60515","8"
"67370","8"
"68064","8"
"69850","8"
"70308","8"
"70476","8"
"72877","8"
"73427","8"
"73755","8"
"74038","8"
"74355","8"
"79705","8"
"80100","8"
"80443","8"
"81371","8"
"81613","8"
"82877","8"
"83476","8"
"85322","8"
"86129","8"
"89609","8"
"91260","8"
"91998","8"
"93327","8"
"94358","8"
"97787","8"
"103484","8"
"104250","8"
"105974","8"
"107024","8"
"107866","8"
"107951","8"
"108102","8"
"109652","8"
"109677","8"
"110236","8"
"111035","8"
"111679","8"
"112280","8"
"112298","8"
"112655","8"
"113482","8"
"114768","8"
"115727","8"
"117614","8"
"118885","8"
"119160","8"
"2","9"
"1879","9"
"2825","9"
"3961","9"
"4241","9"
"5935","9"
"6078","9"
"11182","9"
"13146","9"
"13596","9"
"16185","9"
"16374","9"
"17514","9"
"20262","9"
"20607","9"
"21107","9"
"25261","9"
"25332","9"
"25526","9"
"30382","9"
"31327","9"
"34547","9"
"35502","9"
"36082","9"
"36587","9"
"38375","9"
"39053","9"
"39465","9"
"41590","9"
"42803","9"
"44525","9"
"46775","9"
"48017","9"
"49142","9"
"50559","9"
"51323","9"
"53574","9"
"53595","9"
"53739","9"
"55853","9"
"56103","9"
"57599","9"
"58176","9"
"61346","9"
"62308","9"
"63946","9"
"64130","9"
"64182","9"
"64183","9"
"68427","9"
"73727","9"
"74189","9"
"78912","9"
"80689","9"
"81416","9"
"83140","9"
"86397","9"
"86782","9"
"92371","9"
"95647","9"
"99584","9"
"100300","9"
"102059","9"
"103624","9"
"104261","9"
"105124","9"
"112054","9"
"120858","9"
"9","11"
"170","11"
"261","11"
"1404","11"
"3017","11"
"3121","11"
"7342","11"
"7969","11"
"8166","11"
"9076","11"
"10241","11"
"13968","11"
"14762","11"
"15541","11"
"17108","11"
"17632","11"
"17681","11"
"17839","11"
"18808","11"
"19093","11"
"19193","11"
"22580","11"
"22611","11"
"22669","11"
"22839","11"
"22867","11"
"23656","11"
"23894","11"
"26259","11"
"33737","11"
"36019","11"
"36329","11"
"36646","11"
"37407","11"
"40838","11"
"41988","11"
"42040","11"
"42108","11"
"42720","11"
"42942","11"
"43000","11"
"43875","11"
"45992","11"
"46323","11"
"48240","11"
"49118","11"
"49536","11"
"49765","11"
"50723","11"
"50838","11"
"51023","11"
"51042","11"
"51055","11"
"52371","11"
"53302","11"
"53916","11"
"54755","11"
"55754","11"
"56416","11"
"56481","11"
"56604","11"
"56816","11"
"57472","11"
"59844","11"
"59950","11"
"60029","11"
"60351","11"
"61648","11"
"63500","11"
"64473","11"
"64474","11"
"64656","11"
"65118","11"
"65288","11"
"65352","11"
"66681","11"
"66994","11"
"67385","11"
"68162","11"
"70296","11"
"70454","11"
"71568","11"
"71679","11"
"71836","11"
"71956","11"
"72061","11"
"72395","11"
"72665","11"
"72920","11"
"72988","11"
"73006","11"
"74045","11"
"75354","11"
"75808","11"
"77268","11"
"78583","11"
"78823","11"
"83437","11"
"83773","11"
"83800","11"
"85651","11"
"86787","11"
"86919","11"
"87508","11"
"87581","11"
"88588","11"
"88659","11"
"88723","11"
"88764","11"
"88813","11"
"90029","11"
"90523","11"
"91284","11"
"91566","11"
"92110","11"
"96232","11"
"97881","11"
"98177","11"
"98279","11"
"98315","11"
"98348","11"
"98541","11"
"99421","11"
"100790","11"
"101898","11"
"102734","11"
"103854","11"
"104369","11"
"104412","11"
"104597","11"
"107110","11"
"107209","11"
"107753","11"
"107871","11"
"108558","11"
"108683","11"
"109052","11"
"110680","11"
"110756","11"
"112642","11"
"113901","11"
"115005","11"
"115677","11"
"116584","11"
"120081","11"
"120216","11"
"120418","11"
"120617","11"
"120670","11"
"11","12"
"597","12"
"1459","12"
"3443","12"
"4584","12"
"6929","12"
"10619","12"
"19661","12"
"21422","12"
"21945","12"
"22541","12"
"22590","12"
"22974","12"
"23512","12"
"24150","12"
"24432","12"
"26717","12"
"27783","12"
"28562","12"
"28739","12"
"28875","12"
"29835","12"
"33557","12"
"34385","12"
"34532","12"
"36337","12"
"36875","12"
"37320","12"
"37536","12"
"41466","12"
"42185","12"
"45761","12"
"46420","12"
"49259","12"
"50004","12"
"52789","12"
"53911","12"
"55006","12"
"55978","12"
"2843","303"
"3462","303"
"4287","303"
"4308","303"
"6291","303"
"8192","303"
"9969","303"
"9991","303"
"10068","303"
"10121","303"
"13030","303"
"15614","303"
"15642","303"
"16020","303"
"16810","303"
"17008","303"
"18033","303"
"18047","303"
"19206","303"
"19532","303"
"21562","303"
"23367","303"
"23919","303"
"24984","303"
"26097","303"
"28045","303"
"29281","303"
"31479","303"
"33682","303"
"35670","303"
"36660","303"
"36895","303"
"38299","303"
"40383","303"
"42849","303"
"44513","303"
"45034","303"
"49561","303"
"49984","303"
"50974","303"
"52068","303"
"54364","303"
"57580","303"
"58229","303"
"59630","303"
"64305","303"
"67048","303"
"67217","303"
"68010","303"
"68044","303"
"70137","303"
"70199","303"
"71712","303"
"71779","303"
"72157","303"
"74287","303"
"77172","303"
"78897","303"
"80542","303"
"81733","303"
"82569","303"
"83164","303"
"83722","303"
"84908","303"
"89487","303"
"93677","303"
"98800","303"
"100629","303"
"101187","303"
"102167","303"
"105171","303"
"105630","303"
"118324","303"
"119269","303"
"120417","303"
"2847","304"
"3770","304"
"6197","304"
"6783","304"
"17554","304"
"20785","304"
"21930","304"
"22246","304"
"28273","304"
"28645","304"
"29416","304"
"33141","304"
"39555","304"
